iter	Passed	Remaining
400	26091	6441
401	26161	6377
402	26231	6313
403	26290	6247
404	26355	6182
405	26417	6116
406	26489	6052
407	26546	5985
408	26603	5919
409	26675	5855
410	26736	5789
411	26795	5723
412	26863	5658
413	26927	5593
414	26994	5528
415	27054	5462
416	27115	5397
417	27191	5334
418	27247	5267
419	27303	5200
420	27371	5136
421	27429	5069
422	27493	5004
423	27565	4940
424	27616	4873
425	27678	4808
426	27749	4744
427	27806	4677
428	27877	4613
429	27932	4547
430	27985	4480
431	28052	4415
432	28118	4350
433	28192	4287
434	28257	4222
435	28315	4156
436	28382	4091
437	28443	4026
438	28499	3960
439	28560	3894
440	28640	3831
441	28700	3766
442	28767	3701
443	28826	3635
444	28882	3569
445	28953	3505
446	29015	3440
447	29071	3374
448	29138	3309
449	29193	3243
450	29253	3178
451	29389	3120
452	29611	3072
453	29798	3019
454	29885	2955
455	29943	2889
456	30015	2824
457	30089	2759
458	30156	2693
459	30214	2627
460	30273	2561
461	30346	2496
462	30400	2429
463	30457	2363
464	30516	2296
465	30590	2231
466	30650	2165
467	30716	2100
468	30774	2034
469	30832	1968
470	30902	1902
471	30959	1836
472	31019	1770
473	31104	1706
474	31160	1640
475	31231	1574
476	31295	1509
477	31348	1442
478	31416	1377
479	31485	1311
480	31542	1245
481	31617	1180
482	31673	1114
483	31732	1049
484	31799	983
485	31853	917
486	31917	852
487	31989	786
488	32048	720
489	32129	655
490	32184	589
491	32241	524
492	32313	458
493	32370	393
494	32433	327
495	32500	262
496	32563	196
497	32632	131
498	32691	65
499	32763	0
