iter	MultiClass
0	1.079185704
1	1.060297409
2	1.041999292
3	1.023966781
4	1.006335709
5	0.9893799097
6	0.9731993124
7	0.9571063202
8	0.9414974696
9	0.9262751417
10	0.9113541506
11	0.896908645
12	0.8828574508
13	0.8691040341
14	0.8555090852
15	0.8422216724
16	0.8293558762
17	0.8168338154
18	0.8043675736
19	0.7922078998
20	0.7803952312
21	0.7687340664
22	0.7574179921
23	0.7463837814
24	0.7354701322
25	0.7249816286
26	0.7145462955
27	0.7042792556
28	0.6943014772
29	0.6844653716
30	0.6748231647
31	0.6654744438
32	0.6562423053
33	0.6472469778
34	0.6384789477
35	0.6297810689
36	0.6212114626
37	0.6129077669
38	0.6047135021
39	0.5967018635
40	0.5887391541
41	0.5809812011
42	0.5732425703
43	0.565657869
44	0.5582519395
45	0.5510780858
46	0.5438527939
47	0.5368215378
48	0.5299378502
49	0.5230798369
50	0.5163543108
51	0.5098138709
52	0.5033157637
53	0.497007164
54	0.4907463874
55	0.4845676268
56	0.4784533877
57	0.4724740206
58	0.466555145
59	0.4607293104
60	0.4549782499
61	0.4494253223
62	0.443881481
63	0.4383941613
64	0.433047434
65	0.4277371219
66	0.4225682777
67	0.4174026969
68	0.412395055
69	0.4073895797
70	0.402466917
71	0.397655574
72	0.3929089443
73	0.3882872293
74	0.3836428935
75	0.3790594482
76	0.3745881274
77	0.3701500478
78	0.3657564695
79	0.3614613698
80	0.3572139809
81	0.3530334616
82	0.3488955957
83	0.3448961455
84	0.3409769888
85	0.3370736158
86	0.333162249
87	0.3293250724
88	0.3255033975
89	0.3217777139
90	0.3180813552
91	0.3144159327
92	0.310838224
93	0.3073115155
94	0.303803628
95	0.3003337671
96	0.2969253486
97	0.293549749
98	0.2902482289
99	0.2869648292
100	0.2837522574
101	0.2805872332
102	0.2774213931
103	0.2743137312
104	0.2712401141
105	0.2681963136
106	0.2652236755
107	0.2623102704
108	0.2593914413
109	0.2565214778
110	0.2537041659
111	0.2508930489
112	0.2481372059
113	0.2454300273
114	0.2427516475
115	0.2400773194
116	0.237432591
117	0.2348377964
118	0.2322747372
119	0.2297507924
120	0.2272939805
121	0.224809527
122	0.2224093631
123	0.2200084156
124	0.217642415
125	0.2153068171
126	0.212969773
127	0.210670186
128	0.2084064415
129	0.2061551504
130	0.2039507992
131	0.2017625749
132	0.1996179562
133	0.1974703171
134	0.1953912888
135	0.1933183415
136	0.1912620468
137	0.189222545
138	0.1872030406
139	0.1852124173
140	0.1832591883
141	0.181311024
142	0.1793949119
143	0.177505528
144	0.1756379202
145	0.1737797968
146	0.1719761699
147	0.1701653995
148	0.1683692808
149	0.1666269737
150	0.1648978565
151	0.1631900972
152	0.1614772574
153	0.15980288
154	0.1581498249
155	0.1564993296
156	0.1548644258
157	0.1532673995
158	0.1516925044
159	0.1501262217
160	0.1485860331
161	0.1470591619
162	0.1455481142
163	0.1440433394
164	0.1425501902
165	0.1410866531
166	0.139627345
167	0.1381993809
168	0.1367720504
169	0.1353739527
170	0.1340036341
171	0.1326237993
172	0.1312601259
173	0.1299168703
174	0.1285912706
175	0.1272738803
176	0.1259717791
177	0.1247019695
178	0.1234361034
179	0.1221759595
180	0.1209287502
181	0.1197162765
182	0.1185034227
183	0.1173047611
184	0.116115919
185	0.1149428563
186	0.1137809967
187	0.1126427887
188	0.1115133691
189	0.1103988983
190	0.1092821952
191	0.1081849461
192	0.10709299
193	0.1060254807
194	0.1049675257
195	0.1039374775
196	0.1028998214
197	0.1018803948
198	0.1008613533
199	0.09985225975
