iter	MultiClass
200	0.09885648199
201	0.09786618213
202	0.0968908366
203	0.09592262784
204	0.09496468337
205	0.09404138326
206	0.09310321606
207	0.09217663909
208	0.09125933357
209	0.09036090862
210	0.08946750368
211	0.08858871076
212	0.08771116456
213	0.08684584952
214	0.08598649479
215	0.08514053005
216	0.08430286995
217	0.08347803483
218	0.08265801778
219	0.08185360781
220	0.08105077108
221	0.08025716041
222	0.07946947534
223	0.0786996067
224	0.0779318042
225	0.07718114337
226	0.07643042238
227	0.07568734867
228	0.07494801539
229	0.07422058598
230	0.07350305949
231	0.07279145936
232	0.07208591718
233	0.07138381384
234	0.07070341564
235	0.07001522173
236	0.06934062685
237	0.06866770649
238	0.06800480472
239	0.06735013655
240	0.06670118003
241	0.06606032405
242	0.06542755288
243	0.06480079447
244	0.0641875137
245	0.06358278049
246	0.06299078465
247	0.06238414506
248	0.06178738888
249	0.06120450785
250	0.0606220307
251	0.06004738585
252	0.05947584186
253	0.05891816312
254	0.05835932793
255	0.05780649601
256	0.05725873929
257	0.0567219279
258	0.05619649615
259	0.05566726545
260	0.05514375723
261	0.05461858416
262	0.05410699585
263	0.05359636659
264	0.05309210493
265	0.05260037109
266	0.05211840847
267	0.05163610752
268	0.0511476254
269	0.05066767675
270	0.05018768813
271	0.04972408163
272	0.04927011524
273	0.04880834241
274	0.0483499143
275	0.04790956988
276	0.04746842513
277	0.04702997527
278	0.04659494901
279	0.04616015533
280	0.04573804553
281	0.04531965439
282	0.04490521124
283	0.04448832095
284	0.04407926865
285	0.04367441042
286	0.04326947859
287	0.04286817252
288	0.04247610167
289	0.04208614812
290	0.04169926439
291	0.04132372092
292	0.04094421151
293	0.04057255222
294	0.04020379123
295	0.03983223852
296	0.03946918148
297	0.03911385832
298	0.03876058729
299	0.03841576334
300	0.03806399171
301	0.0377209627
302	0.03737649752
303	0.03703467619
304	0.03669812211
305	0.03637253402
306	0.03604979849
307	0.03572265545
308	0.03540745239
309	0.03509359229
310	0.03477910085
311	0.03446790015
312	0.03415734445
313	0.03385478791
314	0.03355043165
315	0.03324865054
316	0.03295192012
317	0.03266035247
318	0.03237082126
319	0.03208469776
320	0.03179847849
321	0.03152015388
322	0.0312403985
323	0.03096594537
324	0.0306938406
325	0.03042498012
326	0.0301565095
327	0.02988949532
328	0.02963232774
329	0.02938192337
330	0.02912602826
331	0.0288735863
332	0.0286220218
333	0.0283704137
334	0.02812704485
335	0.02788383883
336	0.0276390875
337	0.02740215532
338	0.02716869302
339	0.02694124054
340	0.02670662505
341	0.02647579534
342	0.02624942005
343	0.02601903991
344	0.02580044417
345	0.02558132395
346	0.02536918859
347	0.0251532812
348	0.02494697136
349	0.0247349835
350	0.02452573512
351	0.02431944823
352	0.02411004677
353	0.02390932654
354	0.02370763775
355	0.02350639976
356	0.02330719077
357	0.02311453912
358	0.02292183016
359	0.02274070413
360	0.02254961912
361	0.02236166158
362	0.02218051161
363	0.02199355456
364	0.02181851198
365	0.02163966702
366	0.02146246377
367	0.02128894495
368	0.02110821784
369	0.02093784347
370	0.02076553469
371	0.02059804727
372	0.02043924711
373	0.02027301011
374	0.02010793752
375	0.01994495992
376	0.01978143384
377	0.01962329462
378	0.01946200516
379	0.01930328472
380	0.01915491927
381	0.01899571296
382	0.0188428285
383	0.01869742623
384	0.01854531743
385	0.01840065205
386	0.01825598693
387	0.01811365038
388	0.01797472661
389	0.0178339851
390	0.01769830227
391	0.01756597719
392	0.01743281676
393	0.01730408539
394	0.01716870411
395	0.0170336958
396	0.01689938677
397	0.01677340611
398	0.01664138277
399	0.01651293154
400	0.0163921213
401	0.01627026194
402	0.01615056966
403	0.01602647894
404	0.01591118746
405	0.01579418227
406	0.01568054877
407	0.01557164776
408	0.01545983229
409	0.01535038208
410	0.01523732126
411	0.01513044012
412	0.01501620135
413	0.01490988839
414	0.01479705131
415	0.01468848945
416	0.01457473259
417	0.01446822729
418	0.01436275711
419	0.01425752851
420	0.01415425232
421	0.0140551908
422	0.01395338604
423	0.01385586743
424	0.01375819115
425	0.01366141212
426	0.01356459991
427	0.01346777053
428	0.01337351393
429	0.01327771873
430	0.01319105901
431	0.0130961347
432	0.01300268264
433	0.01291267333
434	0.01282631481
435	0.01274112114
436	0.01265503168
437	0.01257036093
438	0.01248517693
439	0.01239872817
440	0.01231157461
441	0.01223288232
442	0.01215095879
443	0.01207607188
444	0.01199457563
445	0.01191603473
446	0.01183282643
447	0.01175354749
448	0.01168141141
449	0.01160531592
450	0.01153567006
451	0.01146889776
452	0.01139043919
453	0.01131319009
454	0.01123730312
455	0.01116364977
456	0.01109384962
457	0.01102593736
458	0.01095214611
459	0.0108816185
460	0.01081948398
461	0.01074717671
462	0.0106788762
463	0.01060901769
464	0.01054481611
465	0.01047756671
466	0.0104077309
467	0.01034144354
468	0.01028214538
469	0.01022732115
470	0.01016010444
471	0.01010454588
472	0.0100389389
473	0.009976069564
474	0.009922159832
475	0.009866700406
476	0.009813045759
477	0.00976105984
478	0.00970383689
479	0.009654313148
480	0.009600308084
481	0.009537919737
482	0.009486124203
483	0.009433619945
484	0.009375677344
485	0.009326110256
486	0.009277936314
487	0.009222162217
488	0.009172316334
489	0.009115962479
490	0.009059633453
491	0.009007842703
492	0.008961837096
493	0.008911559278
494	0.008862650942
495	0.008811434689
496	0.008761623619
497	0.008714881644
498	0.008662230835
499	0.008617036584
